file_name,user_name,notebook_name,libraries,num_lib
simulacra_titanic-with-xgboost.html,simulacra,titanic-with-xgboost,"['numpy', 'pandas', 'sklearn', 'matplotlib', 'xgboost']",5
kvinaya_titanic-survived-count.html,kvinaya,titanic-survived-count,"['numpy', 'pandas', 'subprocess', 'matplotlib', 'seaborn']",5
yuta12345_titanic-machine-learning-from-disaster.html,yuta12345,titanic-machine-learning-from-disaster,"['numpy', 'pandas', 'matplotlib', 'sklearn', 'os']",5
vivekkr970_titanic-survival-prediction.html,vivekkr970,titanic-survival-prediction,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn', 'IPython']",6
okanerayger_titanic-survive-prediction.html,okanerayger,titanic-survive-prediction,"['numpy', 'pandas', 'statsmodels', 'seaborn', 'matplotlib', 'warnings', 'sklearn', 'lightgbm', 'xgboost']",9
mirandora_titanic-tutorial-code.html,mirandora,titanic-tutorial-code,"['numpy', 'pandas', 'os', 'random', 'matplotlib', 'seaborn', 'sklearn', 'lightgbm']",8
nitinkaushik1978_titanic-basic-solution-with-logistic-regression.html,nitinkaushik1978,titanic-basic-solution-with-logistic-regression,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'os', 're', 'sklearn']",7
yergou_titanic.html,yergou,titanic,"['numpy', 'pandas', 'seaborn', 'matplotlib']",4
naimur978_titanic-who-s-gonna-survive-public-score-81.html,naimur978,titanic-who-s-gonna-survive-public-score-81,"['datetime', 'numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'sklearn', 'xgboost', 'lightgbm', 'catboost', 'IPython', 'warnings', 'sys', 're', 'statistics']",15
sabirul_titanic-using-naive-bayes.html,sabirul,titanic-using-naive-bayes,['csv'],1
bittelc_bittelc-titanic.html,bittelc,bittelc-titanic,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
gihanr_machine-learning-and-titanic.html,gihanr,machine-learning-and-titanic,"['numpy', 'pandas', 'seaborn', 'matplotlib', 'sklearn']",5
anthonyivan_titanic.html,anthonyivan,titanic,"['numpy', 'pandas', 'sklearn', 'subprocess']",4
maxsantos_titanic-notebook.html,maxsantos,titanic-notebook,"['the', 'numpy', 'pandas', 'IPython', 'matplotlib', 'seaborn', 'sklearn']",7
harityadav_titanic-competition.html,harityadav,titanic-competition,"['numpy', 'pandas', 'os', 'seaborn', 'matplotlib', 'sklearn', 'statsmodels']",7
daniel83fr_titanic-how-to-start-a-beginners-path.html,daniel83fr,titanic-how-to-start-a-beginners-path,"['pandas', 'warnings', 'seaborn', 'sklearn', 'sys']",5
psangam_titanic-survival-analysis-and-prediction-using-ml.html,psangam,titanic-survival-analysis-and-prediction-using-ml,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'IPython', 'sklearn', 'xgboost', 'fancyimpute']",8
sanchitvj_titanic.html,sanchitvj,titanic,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'plotly', 're', 'warnings', 'sklearn', 'xgboost']",10
sauravprasad_eda-titanic.html,sauravprasad,eda-titanic,"['numpy', 'pandas', 'matplotlib', 'seaborn', 're', 'sklearn']",6
goldob_titanic.html,goldob,titanic,"['numpy', 'pandas']",2
sadam25_titanic-beginners-model-built-using-log-reg.html,sadam25,titanic-beginners-model-built-using-log-reg,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'sklearn']",6
alissecian_titanic-crash-course-decision-tree-visualization.html,alissecian,titanic-crash-course-decision-tree-visualization,"['numpy', 'pandas', 'sklearn', 'graphviz', 'IPython', 'os', 'subprocess']",7
elwlslek_titanic-eda-to-predict.html,elwlslek,titanic-eda-to-predict,"['numpy', 'pandas', 'os', 'warnings', 'IPython', 'matplotlib', 'seaborn', 're', 'sklearn']",9
keweishang_titanic.html,keweishang,titanic,"['numpy', 'pandas', 'subprocess']",3
kasonli_learning-ml-1-titanic-data.html,kasonli,learning-ml-1-titanic-data,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
ozankaans_beginner-titanic-disaster-prediction.html,ozankaans,beginner-titanic-disaster-prediction,"['numpy', 'pandas', 'os', 'seaborn', 'matplotlib', 'sklearn']",6
davidcoxon_deeply-titanic.html,davidcoxon,deeply-titanic,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'sklearn', 'warnings', 'data', 'scipy', '__future__', 'keras']",10
lhavanya_titanic-analysis.html,lhavanya,titanic-analysis,"['numpy', 'matplotlib', 'seaborn', 'pylab', 'pandas_profiling', 'sklearn', 'pandas', 'xgboost']",8
maxwellgreene_python-titanic.html,maxwellgreene,python-titanic,"['numpy', 'pandas', 'os', 'sklearn']",4
crystaliu_titanic-survival-analytics.html,crystaliu,titanic-survival-analytics,"['pandas', 'numpy', 'seaborn', 'sklearn', 'matplotlib', 'some']",6
